X,Y,Theta
[ 0.29288752],[-0.40140187],[ 0.],[ 0.]
[ 0.29188713],[-0.40228881],[ 0.],[ 0.]
[ 0.29090928],[-0.40315577],[ 0.],[ 0.]
[ 0.28995199],[-0.40400449],[ 0.],[ 0.]
[ 0.28901332],[-0.40483671],[ 0.],[ 0.]
[ 0.2880913],[-0.40565416],[ 0.],[ 0.]
[ 0.28718398],[-0.40645859],[ 0.],[ 0.]
[ 0.28628939],[-0.40725173],[ 0.],[ 0.]
[ 0.28540557],[-0.40803531],[ 0.],[ 0.]
[ 0.28453057],[-0.40881108],[ 0.],[ 0.]
[ 0.28366243],[-0.40958077],[ 0.],[ 0.]
[ 0.28279918],[-0.41034611],[ 0.],[ 0.]
[ 0.28193888],[-0.41110885],[ 0.],[ 0.]
[ 0.28107955],[-0.41187072],[ 0.],[ 0.]
[ 0.28021924],[-0.41263347],[ 0.],[ 0.]
[ 0.279356],[-0.41339881],[ 0.],[ 0.]
[ 0.27848786],[-0.4141685],[ 0.],[ 0.]
[ 0.27761286],[-0.41494427],[ 0.],[ 0.]
[ 0.27672904],[-0.41572785],[ 0.],[ 0.]
[ 0.27583445],[-0.41652099],[ 0.],[ 0.]
[ 0.27492712],[-0.41732542],[ 0.],[ 0.]
[ 0.27400511],[-0.41814287],[ 0.],[ 0.]
[ 0.27306643],[-0.41897509],[ 0.],[ 0.]
[ 0.27210915],[-0.41982381],[ 0.],[ 0.]
[ 0.2711313],[-0.42069077],[ 0.],[ 0.]
[ 0.27013091],[-0.4215777],[ 0.],[ 0.]
[ 0.26910604],[-0.42248634],[ 0.],[ 0.]
[ 0.26805472],[-0.42341844],[ 0.],[ 0.]
[ 0.26697499],[-0.42437572],[ 0.],[ 0.]
[ 0.26586489],[-0.42535992],[ 0.],[ 0.]
[ 0.26477365],[-0.4261803],[ 0.],[ 0.]
[ 0.26374027],[-0.42695717],[ 0.],[ 0.]
[ 0.26276048],[-0.42769377],[ 0.],[ 0.]
[ 0.26182999],[-0.4283933],[ 0.],[ 0.]
[ 0.26094451],[-0.42905899],[ 0.],[ 0.]
[ 0.26009974],[-0.42969407],[ 0.],[ 0.]
[ 0.25929142],[-0.43030176],[ 0.],[ 0.]
[ 0.25851524],[-0.43088528],[ 0.],[ 0.]
[ 0.25776693],[-0.43144785],[ 0.],[ 0.]
[ 0.25704219],[-0.43199269],[ 0.],[ 0.]
[ 0.25633675],[-0.43252304],[ 0.],[ 0.]
[ 0.2556463],[-0.4330421],[ 0.],[ 0.]
[ 0.25496658],[-0.43355311],[ 0.],[ 0.]
[ 0.25429328],[-0.43405929],[ 0.],[ 0.]
[ 0.25362213],[-0.43456385],[ 0.],[ 0.]
[ 0.25294883],[-0.43507003],[ 0.],[ 0.]
[ 0.2522691],[-0.43558103],[ 0.],[ 0.]
[ 0.25157866],[-0.4361001],[ 0.],[ 0.]
[ 0.25087321],[-0.43663044],[ 0.],[ 0.]
[ 0.25014848],[-0.43717529],[ 0.],[ 0.]
[ 0.24940016],[-0.43773786],[ 0.],[ 0.]
[ 0.24862399],[-0.43832138],[ 0.],[ 0.]
[ 0.24781566],[-0.43892906],[ 0.],[ 0.]
[ 0.2469709],[-0.43956414],[ 0.],[ 0.]
[ 0.24608542],[-0.44022984],[ 0.],[ 0.]
[ 0.24515493],[-0.44092937],[ 0.],[ 0.]
[ 0.24417514],[-0.44166596],[ 0.],[ 0.]
[ 0.24314177],[-0.44244283],[ 0.],[ 0.]
[ 0.24205052],[-0.44326321],[ 0.],[ 0.]
[ 0.24089713],[-0.44413032],[ 0.],[ 0.]
[ 0.23967729],[-0.44504738],[ 0.],[ 0.]
[ 0.23853964],[-0.44580095],[ 0.],[ 0.]
[ 0.23746285],[-0.44651422],[ 0.],[ 0.]
[ 0.23644239],[-0.44719017],[ 0.],[ 0.]
[ 0.23547377],[-0.44783178],[ 0.],[ 0.]
[ 0.23455247],[-0.44844205],[ 0.],[ 0.]
[ 0.23367399],[-0.44902395],[ 0.],[ 0.]
[ 0.23283383],[-0.44958048],[ 0.],[ 0.]
[ 0.23202747],[-0.45011461],[ 0.],[ 0.]
[ 0.2312504],[-0.45062934],[ 0.],[ 0.]
[ 0.23049813],[-0.45112764],[ 0.],[ 0.]
[ 0.22976613],[-0.45161251],[ 0.],[ 0.]
[ 0.22904992],[-0.45208693],[ 0.],[ 0.]
[ 0.22834497],[-0.45255389],[ 0.],[ 0.]
[ 0.22764678],[-0.45301637],[ 0.],[ 0.]
[ 0.22695085],[-0.45347736],[ 0.],[ 0.]
[ 0.22625266],[-0.45393984],[ 0.],[ 0.]
[ 0.22554771],[-0.45440679],[ 0.],[ 0.]
[ 0.22483149],[-0.45488121],[ 0.],[ 0.]
[ 0.2240995],[-0.45536609],[ 0.],[ 0.]
[ 0.22334722],[-0.45586439],[ 0.],[ 0.]
[ 0.22257016],[-0.45637912],[ 0.],[ 0.]
[ 0.22176379],[-0.45691325],[ 0.],[ 0.]
[ 0.22092363],[-0.45746978],[ 0.],[ 0.]
[ 0.22004515],[-0.45805168],[ 0.],[ 0.]
[ 0.21912385],[-0.45866195],[ 0.],[ 0.]
[ 0.21815523],[-0.45930356],[ 0.],[ 0.]
[ 0.21713477],[-0.45997951],[ 0.],[ 0.]
[ 0.21605797],[-0.46069278],[ 0.],[ 0.]
[ 0.21492032],[-0.46144636],[ 0.],[ 0.]
[ 0.21371732],[-0.46224323],[ 0.],[ 0.]
[ 0.2125267],[-0.46293674],[ 0.],[ 0.]
[ 0.21138846],[-0.46359973],[ 0.],[ 0.]
[ 0.21029872],[-0.46423448],[ 0.],[ 0.]
[ 0.20925361],[-0.46484323],[ 0.],[ 0.]
[ 0.20824923],[-0.46542826],[ 0.],[ 0.]
[ 0.20728172],[-0.46599181],[ 0.],[ 0.]
[ 0.20634719],[-0.46653615],[ 0.],[ 0.]
[ 0.20544176],[-0.46706355],[ 0.],[ 0.]
[ 0.20456155],[-0.46757625],[ 0.],[ 0.]
[ 0.20370268],[-0.46807652],[ 0.],[ 0.]
[ 0.20286127],[-0.46856662],[ 0.],[ 0.]
[ 0.20203344],[-0.46904881],[ 0.],[ 0.]
[ 0.20121531],[-0.46952535],[ 0.],[ 0.]
[ 0.20040301],[-0.4699985],[ 0.],[ 0.]
[ 0.19959264],[-0.47047052],[ 0.],[ 0.]
[ 0.19878033],[-0.47094366],[ 0.],[ 0.]
[ 0.19796221],[-0.4714202],[ 0.],[ 0.]
[ 0.19713438],[-0.47190239],[ 0.],[ 0.]
[ 0.19629297],[-0.47239249],[ 0.],[ 0.]
[ 0.1954341],[-0.47289276],[ 0.],[ 0.]
[ 0.19455389],[-0.47340546],[ 0.],[ 0.]
[ 0.19364846],[-0.47393286],[ 0.],[ 0.]
[ 0.19271393],[-0.4744772],[ 0.],[ 0.]
[ 0.19174642],[-0.47504075],[ 0.],[ 0.]
[ 0.19074205],[-0.47562577],[ 0.],[ 0.]
[ 0.18969693],[-0.47623453],[ 0.],[ 0.]
[ 0.18860719],[-0.47686927],[ 0.],[ 0.]
[ 0.18746895],[-0.47753227],[  1.23259516e-32],[ 0.]
[ 0.18627833],[-0.47822578],[ 0.],[ 0.]
[ 0.18503145],[-0.47895206],[ 0.],[ 0.]
[ 0.18372443],[-0.47971337],[ -1.23259516e-32],[ 0.]
[ 0.1824027],[-0.48041755],[ 0.],[ 0.]
[ 0.1810361],[-0.48114564],[ 0.],[ 0.]
[ 0.17962793],[-0.48189587],[ 0.],[ 0.]
[ 0.17818154],[-0.48266647],[ 0.],[ 0.]
[ 0.17670023],[-0.48345567],[ 0.],[ 0.]
[ 0.17518734],[-0.4842617],[ 0.],[ 0.]
[ 0.1736462],[-0.48508278],[ 0.],[ 0.]
[ 0.17208011],[-0.48591714],[ 0.],[ 0.]
[ 0.17049242],[-0.48676302],[ -1.23259516e-32],[ 0.]
[ 0.16888645],[-0.48761864],[ 0.],[ 0.]
[ 0.16726551],[-0.48848223],[ 0.],[ 0.]
[ 0.16563293],[-0.48935203],[ 0.],[ 0.]
[ 0.16399205],[-0.49022624],[ -1.23259516e-32],[ 0.]
[ 0.16234618],[-0.49110312],[  1.23259516e-32],[ 0.]
[ 0.16069864],[-0.49198088],[ -1.23259516e-32],[ 0.]
[ 0.15905277],[-0.49285776],[ 0.],[ 0.]
[ 0.15741189],[-0.49373198],[ 0.],[ 0.]
[ 0.15577931],[-0.49460177],[ 0.],[ 0.]
[ 0.15415838],[-0.49546536],[ 0.],[ 0.]
[ 0.1525524],[-0.49632098],[ 0.],[ 0.]
[ 0.15096471],[-0.49716686],[ -1.23259516e-32],[ 0.]
[ 0.14939863],[-0.49800122],[ 0.],[ 0.]
[ 0.14785748],[-0.4988223],[ 0.],[ 0.]
[ 0.14634459],[-0.49962833],[ 0.],[ 0.]
[ 0.14486329],[-0.50041753],[ 0.],[ 0.]
[ 0.1434169],[-0.50118813],[ 0.],[ 0.]
[ 0.14200873],[-0.50193836],[ 0.],[ 0.]
[ 0.14064213],[-0.50266645],[ -1.23259516e-32],[ 0.]
[ 0.13932041],[-0.50337063],[  1.23259516e-32],[ 0.]
[ 0.13804689],[-0.50404912],[ 0.],[ 0.]
[ 0.13675027],[-0.50462969],[ -1.23259516e-32],[ 0.]
[ 0.13547262],[-0.50520176],[ 0.],[ 0.]
[ 0.13421254],[-0.50576597],[ 0.],[ 0.]
[ 0.13296861],[-0.50632294],[ 0.],[ 0.]
[ 0.13173943],[-0.50687331],[ 0.],[ 0.]
[ 0.13052361],[-0.5074177],[ -1.23259516e-32],[ 0.]
[ 0.12931973],[-0.50795674],[ 0.],[ 0.]
[ 0.12812639],[-0.50849106],[ 0.],[ 0.]
[ 0.12694218],[-0.5090213],[ 0.],[ 0.]
[ 0.12576569],[-0.50954807],[ 0.],[ 0.]
[ 0.12459554],[-0.51007202],[ 0.],[ 0.]
[ 0.1234303],[-0.51059376],[ 0.],[ 0.]
[ 0.12226857],[-0.51111392],[ 0.],[ 0.]
[ 0.12110895],[-0.51163315],[ 0.],[ 0.]
[ 0.11995003],[-0.51215206],[ 0.],[ 0.]
[ 0.11879041],[-0.51267128],[ 0.],[ 0.]
[ 0.11762868],[-0.51319145],[ 0.],[ 0.]
[ 0.11646344],[-0.51371319],[ 0.],[ 0.]
[ 0.11529328],[-0.51423714],[ 0.],[ 0.]
[ 0.1141168],[-0.51476391],[ 0.],[ 0.]
[ 0.11293259],[-0.51529414],[  1.23259516e-32],[ 0.]
[ 0.11173925],[-0.51582847],[ 0.],[ 0.]
[ 0.11053537],[-0.51636751],[ 0.],[ 0.]
[ 0.10931954],[-0.5169119],[ 0.],[ 0.]
[ 0.10809037],[-0.51746227],[ 0.],[ 0.]
[ 0.10684644],[-0.51801924],[ 0.],[ 0.]
[ 0.10558636],[-0.51858345],[ 0.],[ 0.]
[ 0.10430871],[-0.51915552],[ 0.],[ 0.]
[ 0.10301209],[-0.51973609],[ 0.],[ 0.]
[ 0.1016951],[-0.52032578],[ 0.],[ 0.]
[ 0.10035633],[-0.52092522],[ 0.],[ 0.]
[ 0.09906572],[-0.52136849],[ 0.],[ 0.]
[ 0.09784413],[-0.52178806],[ 0.],[ 0.]
[ 0.09668644],[-0.52218568],[ 0.],[ 0.]
[ 0.09558754],[-0.52256312],[  1.23259516e-32],[ 0.]
[ 0.09454232],[-0.52292211],[ 0.],[ 0.]
[ 0.09354566],[-0.52326442],[ 0.],[ 0.]
[ 0.09259246],[-0.52359181],[ 0.],[ 0.]
[ 0.09167759],[-0.52390604],[ 0.],[ 0.]
[ 0.09079596],[-0.52420884],[ -1.23259516e-32],[ 0.]
[ 0.08994244],[-0.524502],[ 0.],[ 0.]
[ 0.08911193],[-0.52478725],[ 0.],[ 0.]
[ 0.08829931],[-0.52506635],[ 0.],[ 0.]
[ 0.08749947],[-0.52534107],[ 0.],[ 0.]
[ 0.0867073],[-0.52561315],[ 0.],[ 0.]
[ 0.08591768],[-0.52588435],[ 0.],[ 0.]
[ 0.08512551],[-0.52615643],[ 0.],[ 0.]
[ 0.08432567],[-0.52643115],[ 0.],[ 0.]
[ 0.08351305],[-0.52671025],[ -1.23259516e-32],[ 0.]
[ 0.08268254],[-0.5269955],[ 0.],[ 0.]
[ 0.08182902],[-0.52728865],[ 0.],[ 0.]
[ 0.08094739],[-0.52759146],[ 0.],[ 0.]
[ 0.08003253],[-0.52790568],[ 0.],[ 0.]
[ 0.07907932],[-0.52823307],[ 0.],[ 0.]
[ 0.07808267],[-0.52857539],[ 0.],[ 0.]
[ 0.07703745],[-0.52893438],[ 0.],[ 0.]
[ 0.07593855],[-0.52931181],[ 0.],[ 0.]
[ 0.07478086],[-0.52970943],[ 0.],[ 0.]
[ 0.07355927],[-0.530129],[ 0.],[ 0.]
[ 0.07226866],[-0.53057228],[ 0.],[ 0.]
[ 0.07090393],[-0.53104101],[ 0.],[ 0.]
[ 0.06945997],[-0.53153696],[ 0.],[ 0.]
[ 0.06811379],[-0.53191428],[ 0.],[ 0.]
[ 0.06680789],[-0.53228032],[ 0.],[ 0.]
[ 0.06553929],[-0.5326359],[ 0.],[ 0.]
[ 0.064305],[-0.53298186],[ 0.],[ 0.]
[ 0.06310203],[-0.53331904],[ -1.23259516e-32],[ 0.]
[ 0.06192741],[-0.53364828],[ 0.],[ 0.]
[ 0.06077815],[-0.53397041],[ 0.],[ 0.]
[ 0.05965127],[-0.53428627],[ 0.],[ 0.]
[ 0.05854377],[-0.53459669],[ 0.],[ 0.]
[ 0.05745269],[-0.53490252],[ 0.],[ 0.]
[ 0.05637503],[-0.53520458],[ 0.],[ 0.]
[ 0.05530782],[-0.53550371],[ -1.23259516e-32],[ 0.]
[ 0.05424806],[-0.53580075],[ 0.],[ 0.]
[ 0.05319278],[-0.53609654],[ 0.],[ 0.]
[ 0.05213899],[-0.53639191],[ 0.],[ 0.]
[ 0.05108371],[-0.5366877],[ 0.],[ 0.]
[ 0.05002396],[-0.53698474],[  1.23259516e-32],[ 0.]
[ 0.04895674],[-0.53728387],[ 0.],[ 0.]
[ 0.04787908],[-0.53758593],[ 0.],[ 0.]
[ 0.046788],[-0.53789176],[ 0.],[ 0.]
[ 0.04568051],[-0.53820218],[ 0.],[ 0.]
[ 0.04455362],[-0.53851804],[ 0.],[ 0.]
[ 0.04340436],[-0.53884017],[ 0.],[ 0.]
[ 0.04222974],[-0.53916941],[ 0.],[ 0.]
[ 0.04102677],[-0.53950659],[ 0.],[ 0.]
[ 0.03979248],[-0.53985255],[ 0.],[ 0.]
[ 0.03852387],[-0.54020813],[ 0.],[ 0.]
[ 0.03721798],[-0.54057417],[ 0.],[ 0.]
[ 0.0358718],[-0.54095149],[ 0.],[ 0.]
[ 0.03448236],[-0.54134094],[ 0.],[ 0.]
[ 0.03307105],[-0.54166511],[ 0.],[ 0.]
[ 0.03165514],[-0.54199034],[ -1.23259516e-32],[ 0.]
[ 0.03023496],[-0.54231655],[ 0.],[ 0.]
[ 0.02881086],[-0.54264366],[ 0.],[ 0.]
[ 0.02738318],[-0.5429716],[ 0.],[ 0.]
[ 0.02595225],[-0.54330027],[ 0.],[ 0.]
[ 0.02451842],[-0.54362962],[ 0.],[ 0.]
[ 0.02308204],[-0.54395955],[ 0.],[ 0.]
[ 0.02164344],[-0.54428999],[ 0.],[ 0.]
[ 0.02020296],[-0.54462086],[ 0.],[ 0.]
[ 0.01876094],[-0.54495209],[ 0.],[ 0.]
[ 0.01731774],[-0.54528358],[ 0.],[ 0.]
[ 0.01587368],[-0.54561528],[ 0.],[ 0.]
[ 0.0144291],[-0.54594709],[ 0.],[ 0.]
[ 0.01298436],[-0.54627894],[ 0.],[ 0.]
[ 0.01153979],[-0.54661076],[ 0.],[ 0.]
[ 0.01009573],[-0.54694245],[ 0.],[ 0.]
[ 0.00865252],[-0.54727395],[ 0.],[ 0.]
[ 0.0072105],[-0.54760517],[ 0.],[ 0.]
[ 0.00577003],[-0.54793605],[ 0.],[ 0.]
[ 0.00433142],[-0.54826649],[ 0.],[ 0.]
[ 0.00289504],[-0.54859642],[ 0.],[ 0.]
[ 0.00146121],[-0.54892576],[ 0.],[ 0.]
[  3.02869982e-05],[-0.54925444],[ 0.],[ 0.]
[-0.0013974],[-0.54958237],[ 0.],[ 0.]
[-0.0028215],[-0.54990948],[  1.23259516e-32],[ 0.]
[-0.00424168],[-0.55023569],[  1.23259516e-32],[ 0.]
[-0.00565759],[-0.55056092],[ 0.],[ 0.]
[-0.0070689],[-0.55088509],[  1.23259516e-32],[ 0.]
[-0.00847526],[-0.55120813],[ 0.],[ 0.]
[-0.00987633],[-0.55152995],[ 0.],[ 0.]
[-0.01136212],[-0.55180328],[ -1.23259516e-32],[ 0.]
[-0.01290992],[-0.55208801],[  1.23259516e-32],[ 0.]
[-0.01451516],[-0.55238332],[ 0.],[ 0.]
[-0.01617322],[-0.55268834],[  2.46519033e-32],[ 0.]
[-0.01787952],[-0.55300223],[ 0.],[ 0.]
[-0.01962947],[-0.55332415],[ 0.],[ 0.]
[-0.02141846],[-0.55365326],[ 0.],[ 0.]
[-0.02324191],[-0.55398871],[ 0.],[ 0.]
[-0.02509522],[-0.55432964],[ 0.],[ 0.]
[-0.0269738],[-0.55467523],[ 0.],[ 0.]
[-0.02887306],[-0.55502462],[ 0.],[ 0.]
[-0.03078839],[-0.55537697],[ 0.],[ 0.]
[-0.03271521],[-0.55573143],[ 0.],[ 0.]
[-0.03464892],[-0.55608716],[ 0.],[ 0.]
[-0.03658492],[-0.55644331],[ 0.],[ 0.]
[-0.03851863],[-0.55679904],[ 0.],[ 0.]
[-0.04044545],[-0.5571535],[ 0.],[ 0.]
[-0.04236078],[-0.55750585],[ 0.],[ 0.]
[-0.04426004],[-0.55785524],[ 0.],[ 0.]
[-0.04613862],[-0.55820083],[ 0.],[ 0.]
[-0.04799193],[-0.55854176],[ 0.],[ 0.]
[-0.04981538],[-0.55887721],[ 0.],[ 0.]
[-0.05160437],[-0.55920632],[ 0.],[ 0.]
[-0.05335432],[-0.55952824],[ 0.],[ 0.]
[-0.05506062],[-0.55984213],[ 0.],[ 0.]
[-0.05671868],[-0.56014715],[ 0.],[ 0.]
[-0.05832391],[-0.56044246],[ 0.],[ 0.]
[-0.05987171],[-0.56072719],[ 0.],[ 0.]
[-0.06135749],[-0.56100052],[ 0.],[ 0.]
[-0.06277666],[-0.56126159],[ 0.],[ 0.]
[-0.06425618],[-0.56143713],[ 0.],[ 0.]
[-0.06577906],[-0.56161781],[ 0.],[ 0.]
[-0.06734211],[-0.56180326],[ 0.],[ 0.]
[-0.0689421],[-0.56199309],[ -2.46519033e-32],[ 0.]
[-0.07057582],[-0.56218693],[ 0.],[ 0.]
[-0.07224006],[-0.56238438],[ 0.],[ 0.]
[-0.07393161],[-0.56258508],[ 0.],[ 0.]
[-0.07564725],[-0.56278863],[ 0.],[ 0.]
[-0.07738378],[-0.56299466],[ 0.],[ 0.]
[-0.07913797],[-0.56320279],[ 0.],[ 0.]
[-0.08090662],[-0.56341264],[ 0.],[ 0.]
[-0.08268652],[-0.56362381],[ 0.],[ 0.]
[-0.08447445],[-0.56383594],[ -2.46519033e-32],[ 0.]
[-0.08626719],[-0.56404864],[ 0.],[ 0.]
[-0.08806155],[-0.56426154],[ 0.],[ 0.]
[-0.08985429],[-0.56447424],[ 0.],[ 0.]
[-0.09164222],[-0.56468637],[ 0.],[ 0.]
[-0.09342211],[-0.56489754],[ 0.],[ 0.]
[-0.09519077],[-0.56510739],[ 0.],[ 0.]
[-0.09694496],[-0.56531552],[ 0.],[ 0.]
[-0.09868149],[-0.56552155],[ 0.],[ 0.]
[-0.10039713],[-0.5657251],[ 0.],[ 0.]
[-0.10208868],[-0.5659258],[ 0.],[ 0.]
[-0.10375292],[-0.56612325],[ 0.],[ 0.]
[-0.10538664],[-0.56631708],[ 0.],[ 0.]
[-0.10698663],[-0.56650692],[ 0.],[ 0.]
[-0.10854968],[-0.56669237],[ 0.],[ 0.]
[-0.11007257],[-0.56687305],[ 0.],[ 0.]
[-0.11155208],[-0.56704859],[ 0.],[ 0.]
[-0.11298502],[-0.5672186],[ 0.],[ 0.]
[-0.11436816],[-0.5673827],[ 0.],[ 0.]
[-0.11578579],[-0.56743933],[ 0.],[ 0.]
[-0.11718088],[-0.56749505],[ 0.],[ 0.]
[-0.11855511],[-0.56754994],[ 0.],[ 0.]
[-0.11991014],[-0.56760406],[ 0.],[ 0.]
[-0.12124764],[-0.56765749],[ 0.],[ 0.]
[-0.12256928],[-0.56771028],[ 0.],[ 0.]
[-0.12387674],[-0.5677625],[ 0.],[ 0.]
[-0.12517167],[-0.56781422],[ 0.],[ 0.]
[-0.12645575],[-0.56786551],[ 0.],[ 0.]
[-0.12773066],[-0.56791644],[ 0.],[ 0.]
[-0.12899805],[-0.56796706],[ 0.],[ 0.]
[-0.1302596],[-0.56801745],[ 0.],[ 0.]
[-0.13151697],[-0.56806767],[ 0.],[ 0.]
[-0.13277184],[-0.56811779],[ 0.],[ 0.]
[-0.13402588],[-0.56816788],[ 0.],[ 0.]
[-0.13528075],[-0.56821801],[ 0.],[ 0.]
[-0.13653812],[-0.56826823],[ 0.],[ 0.]
[-0.13779967],[-0.56831862],[ 0.],[ 0.]
[-0.13906706],[-0.56836924],[ 0.],[ 0.]
[-0.14034196],[-0.56842016],[ 0.],[ 0.]
[-0.14162605],[-0.56847145],[ 0.],[ 0.]
[-0.14292098],[-0.56852318],[ 0.],[ 0.]
[-0.14422843],[-0.5685754],[ 0.],[ 0.]
[-0.14555008],[-0.56862819],[ 0.],[ 0.]
[-0.14688758],[-0.56868161],[ 0.],[ 0.]
[-0.14824261],[-0.56873574],[ 0.],[ 0.]
[-0.14961684],[-0.56879063],[  2.46519033e-32],[ 0.]
[-0.15101193],[-0.56884635],[ 0.],[ 0.]
[-0.15242956],[-0.56890297],[ 0.],[ 0.]
[-0.15387139],[-0.56896057],[ 0.],[ 0.]
[-0.1553391],[-0.56901919],[ 0.],[ 0.]
[-0.15670345],[-0.56895829],[ 0.],[ 0.]
[-0.15799592],[-0.5689006],[ 0.],[ 0.]
[-0.15922185],[-0.56884588],[ 0.],[ 0.]
[-0.16038654],[-0.56879389],[ 0.],[ 0.]
[-0.16149534],[-0.5687444],[ 0.],[ 0.]
[-0.16255355],[-0.56869716],[ 0.],[ 0.]
[-0.16356651],[-0.56865195],[ 0.],[ 0.]
[-0.16453954],[-0.56860852],[  2.46519033e-32],[ 0.]
[-0.16547796],[-0.56856663],[ 0.],[ 0.]
[-0.1663871],[-0.56852605],[ 0.],[ 0.]
[-0.16727228],[-0.56848654],[ 0.],[ 0.]
[-0.16813883],[-0.56844786],[ -2.46519033e-32],[ 0.]
[-0.16899206],[-0.56840977],[ 0.],[ 0.]
[-0.16983731],[-0.56837204],[ 0.],[ 0.]
[-0.1706799],[-0.56833443],[ 0.],[ 0.]
[-0.17152515],[-0.5682967],[ -2.46519033e-32],[ 0.]
[-0.17237839],[-0.56825862],[ 0.],[ 0.]
[-0.17324493],[-0.56821994],[ 0.],[ 0.]
[-0.17413011],[-0.56818043],[ 0.],[ 0.]
[-0.17503925],[-0.56813985],[ -2.46519033e-32],[ 0.]
[-0.17597767],[-0.56809796],[ 0.],[ 0.]
[-0.1769507],[-0.56805453],[ 0.],[ 0.]
[-0.17796366],[-0.56800931],[ 0.],[ 0.]
[-0.17902187],[-0.56796208],[ 0.],[ 0.]
[-0.18013067],[-0.56791259],[ 0.],[ 0.]
[-0.18129536],[-0.5678606],[  2.46519033e-32],[ 0.]
[-0.18252128],[-0.56780588],[ 0.],[ 0.]
[-0.18381375],[-0.56774819],[  2.46519033e-32],[ 0.]
[-0.1851781],[-0.56768729],[ 0.],[ 0.]
[-0.18661965],[-0.56762294],[ 0.],[ 0.]
[-0.18814372],[-0.56755491],[ 0.],[ 0.]
[-0.18949967],[-0.56740233],[ 0.],[ 0.]
[-0.19078302],[-0.56725792],[ 0.],[ 0.]
[-0.19199915],[-0.56712107],[  2.46519033e-32],[ 0.]
[-0.19315343],[-0.56699118],[ 0.],[ 0.]
[-0.19425124],[-0.56686764],[ 0.],[ 0.]
[-0.19529796],[-0.56674985],[ 0.],[ 0.]
[-0.19629897],[-0.56663721],[ 0.],[ 0.]
[-0.19725964],[-0.56652911],[ -2.46519033e-32],[ 0.]
[-0.19818536],[-0.56642494],[ 0.],[ 0.]
[-0.1990815],[-0.5663241],[ 0.],[ 0.]
[-0.19995343],[-0.56622598],[ 0.],[ 0.]
[-0.20080655],[-0.56612998],[ 0.],[ 0.]
[-0.20164622],[-0.56603549],[  2.46519033e-32],[ 0.]
[-0.20247782],[-0.56594191],[ 0.],[ 0.]
[-0.20330673],[-0.56584864],[ 0.],[ 0.]
[-0.20413834],[-0.56575506],[ 0.],[ 0.]
[-0.20497801],[-0.56566057],[ 0.],[ 0.]
[-0.20583112],[-0.56556457],[ 0.],[ 0.]
[-0.20670306],[-0.56546645],[ -2.46519033e-32],[ 0.]
[-0.2075992],[-0.56536561],[ 0.],[ 0.]
[-0.20852492],[-0.56526144],[ 0.],[ 0.]
[-0.2094856],[-0.56515334],[ 0.],[ 0.]
[-0.21048661],[-0.56504069],[ 0.],[ 0.]
[-0.21153333],[-0.56492291],[ 0.],[ 0.]
[-0.21263115],[-0.56479937],[  2.46519033e-32],[ 0.]
[-0.21378543],[-0.56466948],[ 0.],[ 0.]
[-0.21500156],[-0.56453263],[ 0.],[ 0.]
[-0.21628492],[-0.56438821],[ -2.46519033e-32],[ 0.]
[-0.21764088],[-0.56423563],[ 0.],[ 0.]
[-0.21907482],[-0.56407427],[ 0.],[ 0.]
[-0.22041801],[-0.56383754],[ 0.],[ 0.]
[-0.22168868],[-0.5636136],[ 0.],[ 0.]
[-0.22289221],[-0.56340148],[ 0.],[ 0.]
[-0.22403397],[-0.56320026],[ 0.],[ 0.]
[-0.22511932],[-0.56300897],[ 0.],[ 0.]
[-0.22615365],[-0.56282668],[ 0.],[ 0.]
[-0.22714231],[-0.56265243],[ 0.],[ 0.]
[-0.22809068],[-0.56248529],[ 0.],[ 0.]
[-0.22900414],[-0.5623243],[ 0.],[ 0.]
[-0.22988806],[-0.56216852],[ 0.],[ 0.]
[-0.2307478],[-0.56201699],[ 0.],[ 0.]
[-0.23158874],[-0.56186878],[ 0.],[ 0.]
[-0.23241626],[-0.56172294],[ 0.],[ 0.]
[-0.23323571],[-0.56157852],[ 0.],[ 0.]
[-0.23405248],[-0.56143457],[ 0.],[ 0.]
[-0.23487194],[-0.56129014],[ 0.],[ 0.]
[-0.23569945],[-0.5611443],[ 0.],[ 0.]
[-0.23654039],[-0.56099609],[ 0.],[ 0.]
[-0.23740013],[-0.56084457],[ 0.],[ 0.]
[-0.23828405],[-0.56068878],[ 0.],[ 0.]
[-0.23919751],[-0.56052779],[ 0.],[ 0.]
[-0.24014588],[-0.56036065],[ 0.],[ 0.]
[-0.24113454],[-0.56018641],[ 0.],[ 0.]
[-0.24216887],[-0.56000411],[ 0.],[ 0.]
[-0.24325422],[-0.55981283],[ 0.],[ 0.]
[-0.24439597],[-0.5596116],[ 0.],[ 0.]
[-0.2455995],[-0.55939949],[ 0.],[ 0.]
[-0.24687017],[-0.55917554],[ 0.],[ 0.]
[-0.24821337],[-0.55893881],[ 0.],[ 0.]
[-0.24963445],[-0.55868836],[ 0.],[ 0.]
[-0.25113879],[-0.55842323],[ 0.],[ 0.]
[-0.25246811],[-0.55810929],[ 0.],[ 0.]
[-0.25372757],[-0.55781184],[  2.46519033e-32],[ 0.]
[-0.25492235],[-0.55752967],[ 0.],[ 0.]
[-0.25605763],[-0.55726155],[ 0.],[ 0.]
[-0.25713857],[-0.55700627],[ 0.],[ 0.]
[-0.25817035],[-0.55676259],[ 0.],[ 0.]
